N,cudaMemcpy,naiveMemcpy,cpu,AuxBlock,SeqLookback,ParLookback,scanIncAdd
10,3.28,4.10,8.19,0.82,0.86,0.91,0.96
11,6.55,8.19,8.19,1.56,1.72,1.72,1.93
12,13.11,16.38,7.28,2.85,3.28,2.98,3.64
13,26.21,32.77,7.28,5.46,5.96,5.70,6.90
14,52.43,65.54,7.28,10.08,11.40,10.49,13.80
15,104.86,131.07,7.18,18.08,20.97,20.97,27.59
16,209.72,209.72,7.13,22.80,40.33,41.94,55.19
17,349.53,419.43,7.13,36.79,74.90,80.66,110.38
18,599.19,699.05,7.15,35.54,131.07,144.63,199.73
19,932.07,1048.58,7.13,40.92,209.72,233.02,310.69
20,1290.56,1398.10,7.00,42.80,316.55,364.72,466.03
21,1290.56,1016.80,7.37,49.71,424.74,472.60,
22,1177.35,1100.15,11.44,47.03,699.05,762.60,671.09
23,1266.21,1303.08,12.26,49.27,784.90,913.05,699.05
24,1303.08,1322.34,12.12,31.99,883.01,1036.43,733.43
25,1319.09,1332.19,12.05,29.84,933.69,1095.66,749.82
26,1312.64,1264.71,12.02,30.96,942.71,1121.99,763.14
27,1258.78,1338.00,12.02,30.71,951.90,1129.07,772.48
28,1317.07,1339.67,12.07,31.33,931.06,1129.96,769.98
29,1326.22,1339.67,11.71,30.96,931.16,1126.84,769.91
30,1328.68,1340.29,12.09,33.69,950.11,1126.18,829.66
