N (2^),naiveMemcpy,registerMemcpy,glbShrMemcpy,cudaMemcpy,seqScanIncAddI32,singlePassScanAuxBlock,singlePassScanLookback
10,2.05,1.64,1.37,2.05,inf,0.32,0.33
11,4.10,3.28,2.73,3.28,inf,0.66,0.66
12,8.19,6.55,5.46,8.19,32.77,1.26,1.31
13,13.11,13.11,9.36,13.11,21.85,2.52,2.52
14,26.21,26.21,18.72,26.21,18.72,4.68,4.52
15,52.43,43.69,32.77,52.43,20.16,8.74,8.46
16,104.86,87.38,65.54,104.86,18.72,15.42,16.38
17,209.72,174.76,131.07,209.72,18.40,22.80,31.78
18,349.53,349.53,262.14,299.59,18.40,33.83,56.68
19,599.19,699.05,524.29,524.29,18.40,32.51,99.86
20,838.86,1198.37,838.86,762.60,18.89,32.39,167.77
21,1198.37,1677.72,1290.56,1118.48,17.14,39.57,262.14
22,906.88,2097.15,1118.48,1157.05,17.14,17.59,524.29
23,1220.16,4473.92,1266.21,1220.16,17.32,16.41,639.13
24,1303.08,5592.41,1328.89,1278.26,17.26,17.94,664.44
25,1322.34,5711.39,1342.18,1303.08,17.33,16.22,735.44
26,1332.19,5592.41,1359.17,1319.09,17.28,18.01,769.16
27,1255.84,4210.75,1380.13,1309.44,15.20,19.39,801.30
28,1096.21,5788.37,1373.95,1325.61,17.21,19.08,804.90
29,1256.21,5734.27,1376.15,1328.07,17.25,17.80,808.85
30,1333.84,5450.47,1375.93,1327.25,17.23,17.48,802.05
