N (2^),naiveMemcpy,registerMemcpy,glbShrMemcpy,scanIncAddI32,singlePassScanAuxBlock,singlePassScanLookback
10,2.05,1.64,1.64,1.64,inf,0.28,0.30
11,4.10,3.28,2.73,3.28,16.38,0.61,0.61
12,8.19,6.55,5.46,6.55,10.92,1.17,1.21
13,13.11,13.11,10.92,13.11,10.92,2.34,2.34
14,26.21,26.21,18.72,26.21,10.92,4.23,4.37
15,52.43,43.69,32.77,52.43,10.92,8.19,7.94
16,104.86,87.38,65.54,104.86,10.49,14.98,15.42
17,209.72,174.76,131.07,209.72,10.49,21.85,29.96
18,349.53,349.53,262.14,299.59,10.49,34.95,55.19
19,599.19,699.05,524.29,524.29,10.75,36.47,107.55
20,932.07,1677.72,932.07,838.86,10.82,52.76,182.36
21,1290.56,1677.72,1290.56,1198.37,11.30,45.71,262.14
22,958.70,2236.96,1198.37,1242.76,11.57,12.60,508.40
23,1266.21,4473.92,1242.76,1242.76,10.44,19.88,639.13
24,1290.56,5162.22,1303.08,1278.26,15.10,21.97,717.74
25,1322.34,5368.71,1342.18,1303.08,17.23,18.87,803.70
26,1332.19,6032.26,1352.32,1319.09,17.25,20.67,846.80
27,1337.16,6927.37,1362.62,1319.09,13.57,21.35,885.93
28,1079.68,7182.22,1367.82,1325.61,16.20,22.71,897.40
29,1268.07,6949.79,1370.88,1328.07,16.74,23.11,902.11
30,1337.79,6062.06,1372.19,1327.04,16.88,25.68,897.12
